Sentence,Sentiment,words per sentence,label,cleaned_sentences
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,32,1,geosolutions technology leverage benefon gps solution provide location based search technology communities platform location relevant multimedia content new powerful commercial model .
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,11,-1,$ esi low dollar_1.50 dollar_2.50 bk real possibility
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,39,1,quarter 2010 componenta net sale double eur131 m eur76 m period year early move zero pre tax profit pre tax loss eur7 m .
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,20,0,accord finnish russian chamber commerce major construction company finland operate russia .
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,23,0,swedish buyout firm sell remain 22.4 percent stake eighteen month take company public finland .
$SPY wouldn't be surprised to see a green close,positive,9,1,$ spy not surprised green close
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,8,-1,shell dollar_70 billion bg deal meet shareholder skepticism
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,34,-1,ssh communications security corp stock exchange release october 14 2008 2:45 pm company update year outlook estimate result remain loss year .
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,18,1,kone net sale rise 14 % year year month 2008 .
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,33,0,"stockmann department store total floor space 8,000 square metre stockmann investment project price tag eur 12 million ."
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,17,1,circulation revenue increase 5 % finland 4 % sweden 2008 .
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,18,-1,$ sap q1 disappoint software license . real problem cloud growth trail $ msft $ orcl $ goog $ crm $ adbe
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,28,1,subdivision sale revenue year eur 480.7 million eur 414.9 million 2008 operate profit eur 44.5 million eur 7.4 million .
Viking Line has canceled some services .,neutral,7,0,viking line cancel service .
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,36,0,"ahlstrom corporation stock exchange announcement 7.2.2007 10.30 total 56,955 new shares ahlstrom corporation subscribe option right company stock option program 2001 ii 2001 ."
$FB gone green on day,positive,5,1,$ fb go green day
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,15,1,$ msft sql server revenue grow double digit sql server premium revenue grow 30 %
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,27,0,accord l+ñnnen tehtaat ceo matti karppinen company aim deliver fish product customer day early currently .
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,15,0,company share quote nasdaq omx helsinki rautaruukki oyj rtrks .
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,11,0,elcoteq se list nasdaq omx helsinki ltd. .
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral,24,0,contract turntable anode vibrocompactor deliver gansu hualu aluminum co ltd unnamed costumer .
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,11,1,aviva friends life forecast ahead 5.6 billion pound merger
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,24,0,stead base soft drink usual teho energy drink fresh water .
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,22,0,company plan increase unit specialist staff dozen depend market situation 2010 .
The company closed last year with a turnover of about four million euros .,neutral,14,0,company close year turnover million euro .
Shire CEO steps up drive to get Baxalta board talking,positive,10,1,shire ceo step drive baxalta board talk
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,8,1,costco premier retail dividend play $ cost
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,22,0,"storey eco efficient building gross floor area 15,000 sq m. include apartment ."
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,33,0,installment cinema series conclude profile finnish inventor olavi linden personal artistic journey work fiskars lead dozen design award .
